name,latitude,longitude,coordinates,lunch,coffee,pastries,drinks
Rosslyn London Wall,51.517720000000004,-0.08892,"(51.517720,-0.088920)",0,1,0,1
Forbes and Hamilton,51.51708,-0.08800000000000001,"(51.517080,-0.088000)",0,1,1,0
T4 Bubble Tea,51.51895,-0.07721,"(51.518950,-0.077210)",0,0,0,1
Banh Mi Keu Deli,51.51733,-0.08817,"(51.51733, -0.08817)",1,0,0,0
Party at Moorgate,51.51716,-0.08885,"(51.51716, -0.08885)",0,1,1,1
Lazy Coffee,51.511724900000004,-0.08848860000000001,"(51.5117249, -0.0884886)",0,1,1,0
Blues Kitchen,51.525639,-0.08031,"(51.525639, -0.08031)",0,0,0,1
